"Géographie";"Niveau Géo";"Activité économique";"Taille en tranches d'effectifs";"Forme légale avec versant de la fonction publique";"Mesures de Flores";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;625
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;86
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;1013
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;3449
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;24
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;371
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;71
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;20
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;6
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;19961
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;1
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;12303
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1814
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;51
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1490
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1670
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;30
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;5
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;1200
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2110
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;762
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;11549
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2197
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;18578
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;491
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;3741
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;19393
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;664
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;17460
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;20757
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2642
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;44
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2363
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;14
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;6023
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2196
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;28109
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;40420
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1253
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;733
