"Géographie";"Niveau Géo";"Mesure démographie entreprises et établissements";"Activité économique";"Fréquence";Période;Valeur
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;10
"Ballainvilliers";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;290
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;8
"Linas";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;35
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;147
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;99
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;5
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;59
"Igny";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;36
"Igny";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;32
"Ballainvilliers";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;94
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;126
"Ballainvilliers";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;9
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;351
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;525
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;246
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;31
"Champlan";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;23
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;22
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;34
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;84
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;315
"Champlan";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;67
"Champlan";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;33
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;41
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;120
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;141
"Linas";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;103
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;17
"Igny";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;36
"Linas";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;12
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1061
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;93
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;39
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;15
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;394
"Champlan";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;105
"Linas";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;155
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;90
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;66
"Ballainvilliers";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;52
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;60
"Linas";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;454
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;43
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;201
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;40
"Linas";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;25
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;26
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;70
"Igny";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;58
"Ballainvilliers";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;19
"Champlan";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;13
"Champlan";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;362
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;30
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;33
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;34
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;93
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;5
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;131
"Champlan";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;8
"Igny";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;138
"Linas";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;25
"Igny";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;544
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;18
"Linas";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;12
