"Géographie";"Niveau Géo";"Catégorie de logement";"Durée de séjour";"Type de logement";"Combustible";"Nombre de voitures du ménage";"Mesure du recensement ";"Garage-box-parking";"Nombre de pièces du logement";"Statut d’occupation du logement";"Période d’achèvement du logement";Période;Valeur
"Ballainvilliers";"Commune";"Résidences principales";"De 2 à 4 ans";"Total";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;792
"Épinay-sur-Orge";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;41,90137
"Linas";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;27,6244
"Wissous";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;36,98133
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3627
"Palaiseau";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;12234,14488
"Gometz-le-Châtel";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;62,1597
"Les Ulis";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;9267,42459
"Longjumeau";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;46,21479
"Gometz-le-Châtel";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;34,64639
"Les Ulis";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;428,51159
"Montlhéry";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2872,877
"Massy";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;18020,71335
"Saint-Aubin";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;7,49609
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1016,20204
"Marcoussis";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;118
"La Ville-du-Bois";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;152
"Palaiseau";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;106,14435
"Nozay";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1709
"Linas";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2352
"Longjumeau";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;8853,53929
"Igny";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;35,415
"Saulx-les-Chartreux";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;87,57507
"Saclay";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;53,27503
"Vauhallan";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;32,12192
"Chilly-Mazarin";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;445,55439
"Longjumeau";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;395,22229
