"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;12543,11758
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;23631,61264
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;28436,63118
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;22549,0965
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;1628,77787
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;27857,07027
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;1047,42194
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;735,17163
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;877,46291
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;936,75095
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;35,57282
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;680
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;196
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;12
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;344
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;180
"Marcoussis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;516
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;296
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;36
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;52
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;920
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;424
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;644
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;475,40913
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;221,59702
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;4
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;156
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;507,21666
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;48,38772
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;16
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;108
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;88
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;663,47864
"Linas";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;436,92075
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;100
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;2209,42823
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;24,26919
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;261,17079
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;280,10691
"Palaiseau";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;3224,65138
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;68,72711
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;2991,27626
"Les Ulis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;3037,74235
"Vauhallan";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;105,16649
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;2608,93516
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;1351,08387
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;125,39082
