"Géographie";"Niveau Géo";"Fréquence";"Sexe";"Statut d'emploi variable selon l'enquête";"Âge";"Diplôme";"Mesure du recensement ";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Total";"Élève étudiant stagiaire non rémunéré de 14 ans ou plus";"De 15 à 24 ans";"Total";"Population";2011;22931,52914
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Total";"Actif occupé";"De 15 à 24 ans";"Total";"Population";2011;11911,01284
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Élève étudiant stagiaire non rémunéré de 14 ans ou plus";"De 15 à 24 ans";"Total";"Population";2011;11748,91381
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Total";"Chômeur";"De 15 à 24 ans";"Total";"Population";2011;3037,65287
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Actif occupé";"De 15 à 24 ans";"Total";"Population";2011;5588,88055
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Femme ou homme au foyer";"De 15 à 24 ans";"Total";"Population";2011;11,50246
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Actif occupé";"De 15 à 24 ans";"Total";"Population";2011;6322,13229
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Total";"Femme ou homme au foyer";"De 15 à 24 ans";"Total";"Population";2011;215,59681
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Chômeur";"De 15 à 24 ans";"Total";"Population";2011;1387,21685
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Autre inactif";"De 15 à 24 ans";"Total";"Population";2011;558,96744
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Élève étudiant stagiaire non rémunéré de 14 ans ou plus";"De 15 à 24 ans";"Total";"Population";2011;11182,61533
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Chômeur";"De 15 à 24 ans";"Total";"Population";2011;1650,43602
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Femme ou homme au foyer";"De 15 à 24 ans";"Total";"Population";2011;204,09435
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Autre inactif";"De 15 à 24 ans";"Total";"Population";2011;455,20031
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Homme";"Actif occupé";"De 15 à 64 ans";"Total";"Population";2011;68878,47184
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Total";"Chômeur";"De 15 à 64 ans";"Total";"Population";2011;12663,67789
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Femme";"Retraité ou préretraité";"De 15 à 64 ans";"Total";"Population";2011;6719,12074
