"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Wissous";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;7387,6362
"Épinay-sur-Orge";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;141,01427
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;609,8331
"Montlhéry";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;665,52495
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;908,07568
"Wissous";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1286,58865
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;222,68498
"Palaiseau";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;4801,73014
"Massy";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;5817,8697
"Igny";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;635,88848
"Wissous";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1820,43622
"Orsay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;5168,97077
"Villejust";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;342,66082
"Orsay";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2629,49677
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;735,77192
"Longjumeau";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2505,96194
"Saclay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;666,56854
"Massy";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;6878,87331
"Montlhéry";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1755,00812
"Orsay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;320,86024
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1141,31277
"Palaiseau";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;1453,01497
"Orsay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;731,01492
"Montlhéry";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1019,40066
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;453,08952
"Les Ulis";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;6823,07702
"Longjumeau";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1441,26363
"Montlhéry";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;905,85481
"Saclay";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1206,72015
"Massy";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;9819,1521
"Les Ulis";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;2146,1207
"Nozay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1850,04165
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1659,76312
"Longjumeau";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2206,94624
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2574,87901
"Palaiseau";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2758,2414
"Longjumeau";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;1135,00457
"Les Ulis";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;5104,18949
"Palaiseau";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;3099,39152
"Marcoussis";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;855,79848
"Wissous";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;2507,98397
"Champlan";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;454,99761
"Igny";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;415,17269
"Nozay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;219,2582
"Gometz-le-Châtel";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;69,88746
"Longjumeau";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,88602
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;118,0142
"Bures-sur-Yvette";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;72,57066
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;22,34737
"Vauhallan";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;72,96238
"Saclay";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;11,04499
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;41,43819
"Wissous";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1507,36205
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1982,82853
"Champlan";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;532,26145
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;4630,26553
"Montlhéry";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;201,53837
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;966,58375
"Orsay";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2210,78262
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;318,97413
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;2238,54185
"Massy";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;3726,62787
"Saclay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;2017,40852
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2319,49855
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1891,22468
