"Géographie";"Niveau Géo";"Statut d'emploi variable selon l'enquête";"Âge";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;5249,99681
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;37776,00376
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2011;113,32342
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;18980,85838
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;5568,56849
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2011;43102,68322
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;31629,53142
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2011;121,07354
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;40838,31917
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;16375,89212
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2011;44575,75638
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;134247,43075
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;35634,33154
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;4004,80012
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2011;1473,07316
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;2604,96626
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2011;7,75013
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;12635,86965
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;318,57169
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;146883,3004
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;3062,31542
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;1006,29122
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;937,56547
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;608,87863
"Villebon-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;1193,76058
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;161,44093
"Villebon-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2011;11,85761
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;6212,18195
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;35,79399
"Chilly-Mazarin";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;3025,55939
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2011;1920,48204
"Villejust";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;400,87141
"Saclay";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;280,31861
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;22479,17391
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;346,00858
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;11,93133
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;15,90844
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;544
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;189,14669
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;2351,1028
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2011;421,624
"Villiers-le-Bâcle";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;20
"Bures-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;608,17245
"Villejust";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;1346,97404
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;6872,27544
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;1781,03124
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;3852
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2011;698,51754
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;763,236
"Ballainvilliers";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;76
"Nozay";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;112,47966
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2011;4
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2011;1031,78093
"Villebon-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2011;162,14878
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2011;4020
