Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;11;Île-de-France;91;Essonne;91001;Abbéville-la-Rivière;Brutes;ABC;Total;Total;10
2015-T4;11;Île-de-France;91;Essonne;91001;Abbéville-la-Rivière;Brutes;ABC;Femmes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91001;Abbéville-la-Rivière;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;11;Île-de-France;91;Essonne;91001;Abbéville-la-Rivière;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91016;Angerville;Brutes;ABC;Total;Moins de 25 ans;55
2015-T4;11;Île-de-France;91;Essonne;91016;Angerville;Brutes;ABC;Total;De 25 à 49 ans;195
2015-T4;11;Île-de-France;91;Essonne;91016;Angerville;Brutes;ABC;Total;50 ans et plus;55
2015-T4;11;Île-de-France;91;Essonne;91017;Angervilliers;Brutes;ABC;Total;Total;70
2015-T4;11;Île-de-France;91;Essonne;91017;Angervilliers;Brutes;ABC;Femmes;Total;45
2015-T4;11;Île-de-France;91;Essonne;91017;Angervilliers;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91021;Arpajon;Brutes;ABC;Total;De 25 à 49 ans;595
2015-T4;11;Île-de-France;91;Essonne;91021;Arpajon;Brutes;ABC;Total;50 ans et plus;180
2015-T4;11;Île-de-France;91;Essonne;91022;Arrancourt;Brutes;ABC;Total;Total;5
2015-T4;11;Île-de-France;91;Essonne;91027;Athis-Mons;Brutes;ABC;Total;Moins de 25 ans;335
2015-T4;11;Île-de-France;91;Essonne;91037;Auvernaux;Brutes;ABC;Femmes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91037;Auvernaux;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91037;Auvernaux;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91038;Auvers-Saint-Georges;Brutes;ABC;Total;Total;80
2015-T4;11;Île-de-France;91;Essonne;91038;Auvers-Saint-Georges;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91041;Avrainville;Brutes;ABC;Total;Total;35
2015-T4;11;Île-de-France;91;Essonne;91041;Avrainville;Brutes;ABC;Hommes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91041;Avrainville;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91044;Ballainvilliers;Brutes;ABC;Total;Moins de 25 ans;40
2015-T4;11;Île-de-France;91;Essonne;91044;Ballainvilliers;Brutes;ABC;Total;50 ans et plus;45
2015-T4;11;Île-de-France;91;Essonne;91045;Ballancourt-sur-Essonne;Brutes;ABC;Hommes;Total;195
2015-T4;11;Île-de-France;91;Essonne;91045;Ballancourt-sur-Essonne;Brutes;ABC;Femmes;Total;195
2015-T4;11;Île-de-France;91;Essonne;91045;Ballancourt-sur-Essonne;Brutes;ABC;Total;De 25 à 49 ans;205
2015-T4;11;Île-de-France;91;Essonne;91045;Ballancourt-sur-Essonne;Brutes;ABC;Total;50 ans et plus;115
2015-T4;11;Île-de-France;91;Essonne;91047;Baulne;Brutes;ABC;Total;Total;60
2015-T4;11;Île-de-France;91;Essonne;91047;Baulne;Brutes;ABC;Total;50 ans et plus;10
2015-T4;11;Île-de-France;91;Essonne;91064;Bièvres;Brutes;ABC;Femmes;Total;105
2015-T4;11;Île-de-France;91;Essonne;91064;Bièvres;Brutes;ABC;Total;Moins de 25 ans;20
2015-T4;11;Île-de-France;91;Essonne;91067;Blandy;Brutes;ABC;Total;Total;5
2015-T4;11;Île-de-France;91;Essonne;91067;Blandy;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91067;Blandy;Brutes;ABC;Total;50 ans et plus;0
2015-T4;11;Île-de-France;91;Essonne;91069;Boigneville;Brutes;ABC;Total;Total;20
2015-T4;11;Île-de-France;91;Essonne;91069;Boigneville;Brutes;ABC;Femmes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91079;Boissy-la-Rivière;Brutes;ABC;Total;De 25 à 49 ans;15
2015-T4;11;Île-de-France;91;Essonne;91079;Boissy-la-Rivière;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91080;Boissy-le-Cutté;Brutes;ABC;Total;Total;55
2015-T4;11;Île-de-France;91;Essonne;91080;Boissy-le-Cutté;Brutes;ABC;Femmes;Total;30
2015-T4;11;Île-de-France;91;Essonne;91080;Boissy-le-Cutté;Brutes;ABC;Total;De 25 à 49 ans;35
2015-T4;11;Île-de-France;91;Essonne;91080;Boissy-le-Cutté;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91085;Boissy-sous-Saint-Yon;Brutes;ABC;Total;Moins de 25 ans;35
2015-T4;11;Île-de-France;91;Essonne;91086;Bondoufle;Brutes;ABC;Total;Total;420
2015-T4;11;Île-de-France;91;Essonne;91093;Boullay-les-Troux;Brutes;ABC;Total;Total;20
2015-T4;11;Île-de-France;91;Essonne;91093;Boullay-les-Troux;Brutes;ABC;Total;De 25 à 49 ans;10
2015-T4;11;Île-de-France;91;Essonne;91093;Boullay-les-Troux;Brutes;ABC;Total;50 ans et plus;10
2015-T4;11;Île-de-France;91;Essonne;91097;Boussy-Saint-Antoine;Brutes;ABC;Femmes;Total;240
2015-T4;11;Île-de-France;91;Essonne;91097;Boussy-Saint-Antoine;Brutes;ABC;Total;De 25 à 49 ans;280
2015-T4;11;Île-de-France;91;Essonne;91098;Boutervilliers;Brutes;ABC;Total;Total;20
2015-T4;11;Île-de-France;91;Essonne;91098;Boutervilliers;Brutes;ABC;Hommes;Total;10
2015-T4;11;Île-de-France;91;Essonne;91098;Boutervilliers;Brutes;ABC;Total;De 25 à 49 ans;10
2015-T4;11;Île-de-France;91;Essonne;91098;Boutervilliers;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91099;Boutigny-sur-Essonne;Brutes;ABC;Total;Moins de 25 ans;20
2015-T4;11;Île-de-France;91;Essonne;91100;Bouville;Brutes;ABC;Femmes;Total;10
2015-T4;11;Île-de-France;91;Essonne;91100;Bouville;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91103;Brétigny-sur-Orge;Brutes;ABC;Femmes;Total;1045
2015-T4;11;Île-de-France;91;Essonne;91103;Brétigny-sur-Orge;Brutes;ABC;Total;Moins de 25 ans;320
2015-T4;11;Île-de-France;91;Essonne;91103;Brétigny-sur-Orge;Brutes;ABC;Total;50 ans et plus;340
2015-T4;11;Île-de-France;91;Essonne;91105;Breuillet;Brutes;ABC;Femmes;Total;265
2015-T4;11;Île-de-France;91;Essonne;91105;Breuillet;Brutes;ABC;Total;Moins de 25 ans;90
2015-T4;11;Île-de-France;91;Essonne;91106;Breux-Jouy;Brutes;ABC;Hommes;Total;35
2015-T4;11;Île-de-France;91;Essonne;91106;Breux-Jouy;Brutes;ABC;Total;De 25 à 49 ans;30
2015-T4;11;Île-de-France;91;Essonne;91109;Brières-les-Scellés;Brutes;ABC;Femmes;Total;30
2015-T4;11;Île-de-France;91;Essonne;91109;Brières-les-Scellés;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91111;Briis-sous-Forges;Brutes;ABC;Hommes;Total;60
2015-T4;11;Île-de-France;91;Essonne;91111;Briis-sous-Forges;Brutes;ABC;Femmes;Total;65
2015-T4;11;Île-de-France;91;Essonne;91111;Briis-sous-Forges;Brutes;ABC;Total;50 ans et plus;35
2015-T4;11;Île-de-France;91;Essonne;91112;Brouy;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;11;Île-de-France;91;Essonne;91114;Brunoy;Brutes;ABC;Total;Total;1605
2015-T4;11;Île-de-France;91;Essonne;91114;Brunoy;Brutes;ABC;Total;Moins de 25 ans;190
2015-T4;11;Île-de-France;91;Essonne;91115;Bruyères-le-Châtel;Brutes;ABC;Hommes;Total;85
2015-T4;11;Île-de-France;91;Essonne;91115;Bruyères-le-Châtel;Brutes;ABC;Femmes;Total;80
2015-T4;11;Île-de-France;91;Essonne;91115;Bruyères-le-Châtel;Brutes;ABC;Total;50 ans et plus;50
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;Total;35
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Hommes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;De 25 à 49 ans;20
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91122;Bures-sur-Yvette;Brutes;ABC;Total;Total;340
2015-T4;11;Île-de-France;91;Essonne;91122;Bures-sur-Yvette;Brutes;ABC;Total;De 25 à 49 ans;220
2015-T4;11;Île-de-France;91;Essonne;91129;Cerny;Brutes;ABC;Total;Total;165
2015-T4;11;Île-de-France;91;Essonne;91130;Chalo-Saint-Mars;Brutes;ABC;Femmes;Total;25
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Hommes;Total;15
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Total;De 25 à 49 ans;15
2015-T4;11;Île-de-France;91;Essonne;91132;Chamarande;Brutes;ABC;Hommes;Total;40
2015-T4;11;Île-de-France;91;Essonne;91135;Champcueil;Brutes;ABC;Hommes;Total;65
2015-T4;11;Île-de-France;91;Essonne;91135;Champcueil;Brutes;ABC;Total;De 25 à 49 ans;65
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Hommes;Total;105
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Total;Moins de 25 ans;30
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Total;50 ans et plus;40
2015-T4;11;Île-de-France;91;Essonne;91137;Champmotteux;Brutes;ABC;Total;Total;10
