"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2008;121
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2008;92
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2008;54
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2008;25
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2008;104
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2008;194
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2008;80
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2008;125
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2008;43
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2008;41
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2008;8
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2008;15
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2008;6
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2008;108
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2008;11
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2008;30
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2008;22
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2008;12
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2008;43
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2008;22
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2008;37
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2008;142
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2008;17
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2008;59
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2008;147
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2008;41
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2008;2
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2008;1601
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2009;18
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2009;102
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2009;16
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2009;17
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2009;23
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2009;140
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2009;52
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2009;19
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2009;9
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2009;266
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2009;1
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2009;56
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2009;32
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2009;5
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2009;107
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2009;43
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2009;98
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2009;25
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2009;27
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2009;65
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2009;147
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2009;2
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2009;121
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2009;37
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2009;24
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2009;52
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2009;117
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2009;1621
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2010;132
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2010;90
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2010;43
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2010;105
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2010;229
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2010;13
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2010;55
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2010;13
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2010;39
