"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Linas";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;387,04387
"Marcoussis";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;253
"Orsay";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;345,01959
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;926,21671
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;801,75831
"Champlan";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;168,37886
"Champlan";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;103,16855
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;333,91919
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;457,66035
"Linas";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;398,63752
"Linas";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;150,25352
"Ballainvilliers";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;142
"Marcoussis";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;498
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;566,24218
"Saint-Aubin";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;192,88984
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;388,98891
"Igny";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1216,63319
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;176,66934
"Saclay";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;172,04504
"Palaiseau";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1194,3814
"Linas";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;273,12689
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;630,97728
"Saint-Aubin";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;66,6166
"Saclay";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;37,88089
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1305,19032
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;940,86699
"Longjumeau";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;324,14764
"Palaiseau";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1903,1883
"Verrières-le-Buisson";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;574,23421
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;605,81445
"Marcoussis";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;5545
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;202,10932
"Champlan";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1842,64823
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;2744,28838
"Champlan";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;193,68435
"Igny";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;7217,52134
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;293,32691
"Saclay";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;313,46439
"Saclay";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2253,32805
"Villebon-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1167,77577
"Palaiseau";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;10824,9059
"Nozay";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;258,14607
"Marcoussis";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;641
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;660,6053
"Saclay";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;84,28499
"Saclay";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;208,34491
"Ballainvilliers";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;187
"Villebon-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1275,76384
"Palaiseau";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;537,00455
"Orsay";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;231,01585
"Orsay";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;4366,69405
"Marcoussis";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;613
"Massy";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;1052,04183
"Montlhéry";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;806,21644
"Montlhéry";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2599,39867
"Longjumeau";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;554,36255
"Linas";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;378,04945
"Verrières-le-Buisson";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1906,55227
"Ballainvilliers";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;259
"Saclay";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;167,62295
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;285,71935
