"Géographie";"Niveau Géo";"Type de ménage fiscal";"Mesures filosofi";"Unité de mesure";"Quantité d'unités (en puissance de 10)";"Statut de confidentialité";"Statut de l'observation";Période;Valeur
"Montlhéry";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Bures-sur-Yvette";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saint-Aubin";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saint-Aubin";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31470
"Nozay";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26720
"Villebon-sur-Yvette";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22170
"Saint-Aubin";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23200
"Champlan";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Wissous";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
