"Géographie";"Niveau Géo";"Fréquence";"Mesure du recensement ";"Catégorie de logement";"Lien à la personne de référence du ménage ";"Type de ménage et nombre d'enfants";"Profession et catégorie socioprofessionnelle (PCS)";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;122,392007
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2011;14718,684548
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;29228,279894
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;11667,40696
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2011;19240,676481
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;79993,764667
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;2693,180349
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;39098,077813
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;33959,361029
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;12553,998679
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;19240,676481
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;60070,276864
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;244735,027054
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;4284,403604
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;13563,736846
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2011;116646,306045
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;31146,856441
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;14718,684548
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;20745,564999
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;29693,591773
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;6690,530465
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;33959,361029
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;37011,234112
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;32752,228698
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;53209,185475
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;153517,893749
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;329,301845
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;84693,592701
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;285384,918548
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;13709,051391
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;1206,850208
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;88
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;2293,066968
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;156
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1069,064084
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;220
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;3680
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;233,589165
"Bures-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1090,496778
"Gif-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;9275,859312
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;364,748111
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;60
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;104
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;244
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;421,173416
"Gif-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;21,078492
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;3,893153
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;154,004758
"Épinay-sur-Orge";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;8278,647462
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;121,582704
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;264,734387
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;229,696012
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;139,448586
