"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;6032,283716
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;5357,717335
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;8044,352898
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;7966,340697
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;1096,277823
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;15734,506001
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;260655,091876
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2011;3815,035593
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;4105,086509
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2011;11629,419492
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2011;4261,439512
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;7244,00586
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;2217,248123
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Dans une autre commune";"Population";"Annuel";2011;20895,452918
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Total";"Population";"Annuel";2011;289594,897692
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;189,619461
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Autre logement dans la même commune";"Population";"Annuel";2011;8044,352898
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;625,740444
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Total";"Population";"Annuel";2011;1815,298765
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;1705,599326
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;3789,887575
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2011;1189,558321
