"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2008;109
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2008;89
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2008;481
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2008;113
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2008;26
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2008;94
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2008;803
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2008;121
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2008;14
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2008;211
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2008;62
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2008;181
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2008;61
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2008;444
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2008;326
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2008;91
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2008;25
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2008;13
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2008;61
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2008;100
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2008;126
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2008;29
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2008;55
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2008;18
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2008;139
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2008;366
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2008;31
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2008;4189
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2009;146
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2009;198
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2009;16
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2009;466
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2009;69
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2009;59
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2009;817
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2009;122
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2009;35
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2009;93
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2009;106
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2009;34
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2009;83
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2009;87
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2009;26
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2009;125
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2009;360
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2009;444
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2009;357
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2009;110
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2009;25
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2009;11
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2009;84
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2009;42
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2009;177
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2009;10
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2009;91
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2009;4193
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2010;17
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2010;29
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2010;44
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2010;230
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2010;413
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2010;27
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2010;443
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2010;108
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2010;95
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2010;852
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2010;41
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2010;104
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2010;66
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2010;2
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2010;389
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2010;109
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2010;392
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2010;153
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2010;30
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2010;93
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2010;165
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2010;112
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2010;87
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2010;47
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2010;104
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2010;17
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2010;96
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2010;4265
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2011;126
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2011;463
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2011;14
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2011;455
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2011;106
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2011;56
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2011;90
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2011;45
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;97
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2011;26
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;125
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2011;42
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2011;100
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;190
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2011;94
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2011;35
