"Géographie";"Niveau Géo";"Sexe";"Âge";"Mesure du recensement ";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 25 à 39 ans";"Population";2011;30401,573067
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 15 à 24 ans";"Population";2011;20291,952008
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 15 à 24 ans";"Population";2011;39109,959405
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 20 à 64 ans";"Population";2011;175554,921416
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 25 à 39 ans";"Population";2011;29967,526251
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 40 à 54 ans";"Population";2011;61437,350703
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 55 à 64 ans";"Population";2011;17510,572299
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 15 à 24 ans";"Population";2011;18818,007396
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 40 à 54 ans";"Population";2011;30095,458599
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 20 à 64 ans";"Population";2011;88737,48143
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 25 à 39 ans";"Population";2011;60369,099318
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 40 à 54 ans";"Population";2011;31341,892104
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 20 à 64 ans";"Population";2011;86817,439986
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"65 ans ou plus";"Population";2011;40266,433476
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"80 ans ou plus";"Population";2011;10915,941524
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"80 ans ou plus";"Population";2011;6934,921073
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 65 à 79 ans";"Population";2011;29350,491952
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"65 ans ou plus";"Population";2011;17572,114242
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 55 à 64 ans";"Population";2011;16067,846641
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"De 55 à 64 ans";"Population";2011;33578,41894
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"De 65 à 79 ans";"Population";2011;13591,093791
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"Moins de 15 ans";"Population";2011;30117,315326
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"80 ans ou plus";"Population";2011;3981,020451
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"65 ans ou plus";"Population";2011;22694,319234
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"Moins de 15 ans";"Population";2011;28905,422834
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"De 65 à 79 ans";"Population";2011;15759,398161
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"Moins de 20 ans";"Population";2011;39722,658839
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme";"Total";"Population";2011;144112,213067
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Moins de 15 ans";"Population";2011;59022,73816
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme";"Total";"Population";2011;149671,786933
